initial_timeout, pbft
0, 0.6870428893219835,
1, 0.6868794053487453,
2, 0.7018640985889133,
3, 0.7024661725386048,
4, 0.7133381662257349,
5, 0.713437511783909,
6, 0.7136195074419333,
7, 0.7372488841424643,
8, 0.7249872251348882,
9, 0.7362837841845634,
10, 0.7341294402782265,
11, 0.7052535938777768,
12, 0.7228974618816677,
13, 0.7156768202720072,
14, 0.7476381868230821,
15, 0.7274073748187467,
16, 0.749580865395927,
17, 0.7396313710060058,
18, 0.7266440555968886,
19, 0.7231013540061264,
20, 0.7213093131285709,
21, 0.7179909257183386,
22, 0.7458404459874405,
23, 0.7427376099179723,
24, 0.7370899399400355,
25, 0.7017916238978059,
26, 0.7294295750928257,
27, 0.7254737013513282,
28, 0.7188330479804016,
29, 0.7281539306083392,
30, 0.7057246792374127,
31, 0.7339785468815979,
32, 0.6996313469309555,
33, 0.7290211668277999,
34, ,
35, ,
36, ,
37, ,
38, ,
39, ,
40, ,
41, ,
42, ,
43, ,
44, ,
45, ,
46, ,
47, ,
48, ,
49, ,
50, ,
51, ,
52, ,
53, ,
54, ,
55, ,
56, ,
57, ,
58, ,
59, ,
60, ,
61, ,
62, ,
63, ,
64, ,
65, ,
66, ,
67, ,
68, ,
69, ,
70, ,
71, ,
72, ,
73, ,
74, ,
75, ,
76, ,
77, ,
78, ,
79, ,
80, ,
81, ,
82, ,
83, ,
84, ,
85, ,
86, ,
87, ,
88, ,
89, ,
90, ,
91, ,
92, ,
93, ,
94, ,
95, ,
96, ,
97, ,
98, ,
99, ,
100, ,
